starNumber,B,V,V_corrected,B-V,B-V_corrected
149,16.288,15.637,14.677,0.651,0.351
150,17.265,16.466,15.506,0.799,0.499
151,18.85,17.55,16.59,1.3,1
152,15.925,15.338,14.378,0.587,0.287
153,18.85,17.938,16.978,0.912,0.612
154,16.925,16.091,15.131,0.834,0.534
155,17.274,16.55,15.59,0.724,0.424
156,14.73,13.984,13.024,0.746,0.446
157,17.04,16.315,15.355,0.725,0.425
158,16.389,15.747,14.787,0.642,0.342
159,16.986,16.288,15.328,0.698,0.398
160,14.446,13.254,12.294,1.192,0.892
161,17.176,16.441,15.481,0.735,0.435
162,14.687,13.528,12.568,1.159,0.859
163,15.207,14.7,13.74,0.507,0.207
164,18.297,17.381,16.421,0.916,0.616
165,18.072,17.925,16.965,0.147,-0.153
166,15.862,14.457,13.497,1.405,1.105
167,16.044,15.438,14.478,0.606,0.306
168,15.068,14.268,13.308,0.8,0.5
169,17.161,16.493,15.533,0.668,0.368
170,18.469,17.773,16.813,0.696,0.396
171,19.303,18.087,17.127,1.216,0.916
172,18.306,17.57,16.61,0.736,0.436
173,16.459,15.725,14.765,0.734,0.434
174,16.679,15.975,15.015,0.704,0.404
175,15.274,14.388,13.428,0.886,0.586
176,,,,,
177,15.451,14.902,13.942,0.549,0.249
178,18.365,17.586,16.626,0.779,0.479
179,18.832,17.562,16.602,1.27,0.97
180,14.577,14.028,13.068,0.549,0.249
181,13.98,13.408,12.448,0.572,0.272
182,13.872,12.961,12.001,0.911,0.611
183,15.814,15.146,14.186,0.668,0.368
184,16.409,15.286,14.326,1.123,0.823
185,15.969,15.351,14.391,0.618,0.318
186,15.588,14.769,13.809,0.819,0.519
187,14.805,14.223,13.263,0.582,0.282
188,16.487,16.811,15.851,-0.324,-0.624
189,16.594,15.933,14.973,0.661,0.361
190,14.875,14.312,13.352,0.563,0.263
191,15.616,15.045,14.085,0.571,0.271
192,18.951,17.61,16.65,1.341,1.041
193,18.213,17.728,16.768,0.485,0.185
194,15.36,14.815,13.855,0.545,0.245
195,18.324,17.371,16.411,0.953,0.653
196,17.092,16.368,15.408,0.724,0.424
197,17.426,16.634,15.674,0.792,0.492
198,17.691,16.899,15.939,0.792,0.492
199,17.427,16.484,15.524,0.943,0.643
200,14.712,14.273,13.313,0.439,0.139
201,16.673,16.449,15.489,0.224,-0.076
202,16.407,15.627,14.667,0.78,0.48
203,18.686,17.329,16.369,1.357,1.057
204,16.766,15.952,14.992,0.814,0.514
205,17.447,16.506,15.546,0.941,0.641
206,17.98,16.772,15.812,1.208,0.908
207,18.535,18.054,17.094,0.481,0.181
208,19.282,16.794,15.834,2.488,2.188
209,16.445,15.285,14.325,1.16,0.86
210,15.054,14.495,13.535,0.559,0.259
211,17.296,17.121,16.161,0.175,-0.125
212,16.989,16.295,15.335,0.694,0.394
213,17.221,16.476,15.516,0.745,0.445
214,16.184,15.658,14.698,0.526,0.226
215,13.862,13.385,12.425,0.477,0.177
216,15.954,15.53,14.57,0.424,0.124
217,15.663,14.993,14.033,0.67,0.37
218,17.721,16.793,15.833,0.928,0.628
219,17.145,16.4,15.44,0.745,0.445
220,15.838,15.178,14.218,0.66,0.36
221,17.501,16.803,15.843,0.698,0.398
222,18.486,17.876,16.916,0.61,0.31
223,14.858,13.897,12.937,0.961,0.661
224,15.459,14.851,13.891,0.608,0.308
225,15.055,14.474,13.514,0.581,0.281
226,15.62,15.035,14.075,0.585,0.285
227,14.79,14.212,13.252,0.578,0.278
228,17.349,16.509,15.549,0.84,0.54
229,16.37,15.414,14.454,0.956,0.656
230,15.974,14.725,13.765,1.249,0.949
231,18.161,17.5,16.54,0.661,0.361
232,16.991,16.328,15.368,0.663,0.363
233,17.548,16.833,15.873,0.715,0.415
234,14.878,14.25,13.29,0.628,0.328
235,18.252,17.277,16.317,0.975,0.675
236,15.121,13.923,12.963,1.198,0.898
237,18.085,17.348,16.388,0.737,0.437
238,16.94,16.187,15.227,0.753,0.453
239,17.967,17.231,16.271,0.736,0.436
240,16.19,15.383,14.423,0.807,0.507
241,16.967,16.236,15.276,0.731,0.431
242,17.554,16.737,15.777,0.817,0.517
243,16.898,16.232,15.272,0.666,0.366
244,17.207,16.233,15.273,0.974,0.674
245,16.595,15.922,14.962,0.673,0.373
246,18.786,18.057,17.097,0.729,0.429
247,15.587,14.951,13.991,0.636,0.336
248,16.416,15.364,14.404,1.052,0.752
249,19.034,17.54,16.58,1.494,1.194
250,16.052,15.395,14.435,0.657,0.357
251,16.495,15.643,14.683,0.852,0.552
252,17.952,17.152,16.192,0.8,0.5
253,18.433,17.487,16.527,0.946,0.646
254,17.248,16.409,15.449,0.839,0.539
255,15.814,15.201,14.241,0.613,0.313
256,16.534,15.724,14.764,0.81,0.51
257,18.484,17.224,16.264,1.26,0.96
258,18.345,17.591,16.631,0.754,0.454
259,16.268,15.562,14.602,0.706,0.406
260,19.616,17.955,16.995,1.661,1.361
261,17.543,16.997,16.037,0.546,0.246
262,17.117,16.315,15.355,0.802,0.502
263,18.395,17.226,16.266,1.169,0.869
264,18.53,17.574,16.614,0.956,0.656
265,18.295,17.349,16.389,0.946,0.646
266,17.413,16.704,15.744,0.709,0.409
267,17.487,16.638,15.678,0.849,0.549
268,17.978,17.195,16.235,0.783,0.483
269,17.549,16.562,15.602,0.987,0.687
270,19.042,17.78,16.82,1.262,0.962
271,15.451,14.891,13.931,0.56,0.26
272,18.385,17.391,16.431,0.994,0.694
273,16.042,15.429,14.469,0.613,0.313
274,14.541,13.884,12.924,0.657,0.357
275,19.378,18.295,17.335,1.083,0.783
276,17.793,16.992,16.032,0.801,0.501
277,18.573,17.849,16.889,0.724,0.424
278,17.232,16.234,15.274,0.998,0.698
279,14.144,12.298,11.338,1.846,1.546
280,17.477,16.598,15.638,0.879,0.579
281,16.928,16.003,15.043,0.925,0.625
282,15.416,15.453,14.493,-0.037,-0.337
283,13.875,12.706,11.746,1.169,0.869
284,18.44,17.262,16.302,1.178,0.878
285,15.108,13.955,12.995,1.153,0.853
286,18.378,17.406,16.446,0.972,0.672
287,16.622,15.952,14.992,0.67,0.37
288,16.789,16.058,15.098,0.731,0.431
289,17.679,16.894,15.934,0.785,0.485
290,14.955,13.819,12.859,1.136,0.836
291,18.441,17.262,16.302,1.179,0.879
292,18.343,17.488,16.528,0.855,0.555
293,15.834,15.255,14.295,0.579,0.279
294,18.104,17.382,16.422,0.722,0.422
