,starNumber,B,V,V_corrected,B-V,B-V_corrected,spectral type
115,116.0,17.418,16.642,15.682,1.736,1.436,K
116,117.0,17.654,16.881,15.921,1.733,1.433,K
117,118.0,18.798,17.763,16.803,1.995,1.695,M
118,119.0,15.151,15.171,14.211,0.94,0.64,F
119,120.0,15.681,15.103,14.143,1.538,1.238,K
120,121.0,15.433,14.906,13.946,1.487,1.187,K
121,122.0,14.713,14.232,13.272,1.441,1.141,K
122,123.0,15.388,14.725,13.765,1.623,1.323,K
123,124.0,15.454,14.94,13.98,1.474,1.174,K
124,125.0,14.14,12.86,11.9,2.24,1.94,M
125,126.0,15.677,15.133,14.173,1.504,1.204,K
126,127.0,18.606,17.478,16.518,2.088,1.788,M
127,128.0,15.281,14.737,13.777,1.504,1.204,K
128,129.0,18.442,17.53,16.57,1.872,1.572,K
129,130.0,15.996,15.328,14.368,1.628,1.328,K
130,131.0,16.991,16.096,15.136,1.855,1.555,K
131,132.0,14.762,13.585,12.625,2.137,1.837,M
132,133.0,15.327,14.776,13.816,1.511,1.211,K
133,134.0,15.497,14.881,13.921,1.576,1.276,K
134,135.0,12.358,10.765,9.805,2.553,2.253,M
135,136.0,17.306,16.55,15.59,1.716,1.416,K
136,137.0,14.564,13.75,12.79,1.774,1.474,K
137,138.0,17.102,16.402,15.442,1.66,1.36,K
138,139.0,18.34,17.083,16.123,2.217,1.917,M
139,140.0,14.342,13.391,12.431,1.911,1.611,M
140,141.0,14.365,13.727,12.767,1.598,1.298,K
141,142.0,14.406,13.892,12.932,1.474,1.174,K
142,143.0,13.826,11.974,11.014,2.812,2.512,M
143,144.0,16.259,15.646,14.686,1.573,1.273,K
144,145.0,16.41,15.732,14.772,1.638,1.338,K
145,146.0,14.022,13.697,12.737,1.285,0.985,G
146,147.0,16.062,15.368,14.408,1.654,1.354,K
147,148.0,14.934,13.747,12.787,2.147,1.847,M
148,149.0,16.288,15.637,14.677,1.611,1.311,K
149,150.0,17.265,16.466,15.506,1.759,1.459,K
150,151.0,18.85,17.55,16.59,2.26,1.96,M
151,152.0,15.925,15.338,14.378,1.547,1.247,K
152,153.0,18.85,17.938,16.978,1.872,1.572,K
153,154.0,16.925,16.091,15.131,1.794,1.494,K
154,155.0,17.274,16.55,15.59,1.684,1.384,K
155,156.0,14.73,13.984,13.024,1.706,1.406,K
