,starNumber,B,V,V_corrected,B-V,B-V_corrected,spectral type
497,498.0,14.469,13.762,12.802,1.667,1.367,K
498,499.0,16.546,16.042,15.082,1.464,1.164,K
499,500.0,15.528,14.804,13.844,1.684,1.384,K
500,501.0,16.572,15.968,15.008,1.564,1.264,K
501,502.0,14.896,14.211,13.251,1.645,1.345,K
502,503.0,18.374,17.964,17.004,1.37,1.07,K
503,504.0,19.342,18.774,17.814,1.528,1.228,K
504,505.0,15.631,15.049,14.089,1.542,1.242,K
505,506.0,15.528,14.893,13.933,1.595,1.295,K
506,,,,,,,[UNK]
507,,,,Max,3.148,,[UNK]
508,,,,Min,0.336,,[UNK]
