starNumber,B,V
284,18.44,17.262
285,15.108,13.955
286,18.378,17.406
287,16.622,15.952
288,16.789,16.058
289,17.679,16.894
290,14.955,13.819
291,18.441,17.262
292,18.343,17.488
293,15.834,15.255
294,18.104,17.382
295,17.966,16.585
296,17.068,16.15
297,17.031,16.333
298,18.325,17.619
299,15.934,15.333
300,15.365,14.81
301,16.538,15.413
302,17.199,16.499
303,17.445,16.412
304,17.314,16.598
305,18.599,17.581
306,17.037,16.034
307,17.113,16.422
308,17.936,17.08
309,,
310,18.079,16.856
311,16.591,15.929
312,14.818,13.691
313,16.803,16.218
314,16.47,15.673
315,,
316,19.046,17.605
317,18.085,17.587
318,15.767,15.173
319,18.363,17.413
320,16.132,15.51
321,17.555,16.848
322,16.56,15.586
323,17.805,17.191
324,16.895,16.161
325,15.167,14.61
326,13.912,12.747
327,17.957,16.795
328,17.499,16.506
329,16.074,15.405
330,18.05,17.274
331,18.167,17.339
332,16.216,15.335
333,16.221,15.545
334,16.818,16.419
335,17.127,16.341
336,19.183,17.246
337,17.749,17.117
338,19.129,17.751
339,15.914,15.174
340,15.941,14.347
341,15.372,14.885
342,15.003,13.846
343,16.108,15.448
344,16.838,15.758
345,18.362,17.511
346,15.109,13.944
347,17.282,16.524
348,14.665,14.025
349,18.961,17.855
350,16.668,16.002
351,19.265,18.004
352,17.338,16.593
353,18.487,17.824
354,18.587,17.581
355,14.969,14.434
356,16.568,15.909
357,18.371,17.326
358,18.169,17.306
359,18.342,17.103
360,16.069,15.42
361,20.103,18.229
362,18.233,17.321
363,18.607,17.783
364,18.917,17.988
365,16.929,16.199
366,18.628,17.501
367,16.761,16.096
368,17.979,17.178
369,19.131,18.257
370,15.334,14.758
371,17.593,16.82
372,18.9,17.897
373,16.968,15.954
374,17.52,16.796
375,15.478,14.61
376,,
377,16.052,15.427
378,18.219,17.47
379,16.154,15.518
380,14.68,14.066
381,16.157,15.499
382,14.472,13.107
383,15.133,14.514
384,18.788,17.736
385,16.979,16.293
386,,
387,15.356,14.809
388,17.108,16.335
389,18.961,17.979
390,17.719,16.903
